F,G,time
"[-92.39, -2.68, 0.02]","[-0.15, -5.62, 0.93]",2546.167
"[-92.97, -2.5, 0.1]","[-0.18, -5.63, 0.9]",2556.185
"[-93.35, -2.61, 0.0]","[-0.17, -5.62, 0.96]",2566.186
"[-93.64, -2.37, 0.17]","[-0.13, -5.63, 0.97]",2579.009
"[-93.73, -2.06, 0.37]","[-0.14, -5.63, 0.95]",2586.188
"[-93.83, -1.77, 0.29]","[-0.15, -5.63, 0.96]",2596.187
"[-93.81, -1.71, -0.1]","[-0.15, -5.63, 0.98]",2606.1839999999997
"[-93.69, -1.68, -0.32]","[-0.17, -5.65, 0.98]",2616.183
"[-93.47, -1.63, -0.2]","[-0.16, -5.65, 0.96]",2627.181
"[-93.23, -1.69, -0.18]","[-0.16, -5.64, 0.96]",2636.165
"[-92.96, -1.9, -0.34]","[-0.15, -5.64, 0.98]",2646.1890000000003
"[-92.81, -2.05, -0.34]","[-0.12, -5.64, 0.99]",2656.184
"[-92.73, -2.14, -0.1]","[-0.14, -5.62, 0.98]",2666.188
"[-92.82, -2.22, 0.04]","[-0.14, -5.63, 0.96]",2676.185
"[-92.99, -2.35, -0.01]","[-0.14, -5.62, 0.96]",2686.185
"[-93.2, -2.38, -0.06]","[-0.13, -5.62, 0.99]",2697.0040000000004
"[-93.35, -2.29, 0.02]","[-0.1, -5.62, 0.99]",2707.0029999999997
"[-93.45, -2.14, 0.07]","[-0.12, -5.62, 0.98]",2716.185
"[-93.53, -1.95, -0.04]","[-0.12, -5.64, 0.98]",2727.1730000000002
"[-93.5, -1.9, -0.17]","[-0.13, -5.63, 0.99]",2737.003
"[-93.43, -1.91, -0.25]","[-0.12, -5.62, 1.0]",2746.19
"[-93.19, -1.9, -0.28]","[-0.11, -5.63, 1.0]",2757.005
"[-93.02, -1.95, -0.39]","[-0.12, -5.63, 1.0]",2766.184
"[-92.82, -2.01, -0.44]","[-0.12, -5.63, 1.0]",2776.182
"[-92.72, -2.11, -0.45]","[-0.12, -5.62, 1.0]",2786.184
"[-92.68, -2.13, -0.35]","[-0.12, -5.62, 0.99]",2796.174
"[-92.78, -2.2, -0.2]","[-0.13, -5.62, 0.98]",2806.183
"[-92.98, -2.29, -0.13]","[-0.12, -5.61, 0.99]",2816.177
"[-93.18, -2.36, -0.14]","[-0.12, -5.61, 0.99]",2827.175
"[-93.37, -2.34, -0.08]","[-0.13, -5.62, 0.99]",2836.1730000000002
"[-93.52, -2.2, 0.04]","[-0.14, -5.63, 0.98]",2846.184
"[-93.55, -2.03, 0.1]","[-0.14, -5.63, 0.98]",2858.192
"[-93.5, -2.02, 0.07]","[-0.15, -5.63, 0.99]",2866.19
"[-93.42, -1.99, -0.0]","[-0.14, -5.64, 0.99]",2876.0099999999998
"[-93.25, -1.98, -0.07]","[-0.15, -5.64, 0.98]",2887.039
"[-93.08, -1.97, -0.13]","[-0.16, -5.64, 0.98]",2897.017
"[-92.94, -2.01, -0.22]","[-0.15, -5.64, 0.98]",2906.188
"[-92.85, -2.05, -0.25]","[-0.16, -5.64, 0.98]",2916.1769999999997
"[-92.84, -2.09, -0.21]","[-0.15, -5.64, 0.98]",2927.176
"[-92.94, -2.16, -0.16]","[-0.14, -5.64, 0.98]",2936.185
"[-93.03, -2.24, -0.11]","[-0.13, -5.63, 0.99]",2946.183
"[-93.16, -2.24, -0.05]","[-0.13, -5.63, 0.99]",2956.174
"[-93.32, -2.24, -0.01]","[-0.13, -5.62, 0.99]",2966.182
"[-93.39, -2.22, 0.03]","[-0.13, -5.63, 0.98]",2976.179
"[-93.47, -2.22, 0.02]","[-0.14, -5.62, 0.99]",2986.18
"[-93.39, -2.19, -0.03]","[-0.14, -5.62, 0.99]",2996.188
"[-93.29, -2.11, -0.09]","[-0.14, -5.63, 0.98]",3007.003
"[-93.19, -2.1, -0.2]","[-0.14, -5.63, 0.99]",3017.011
"[-93.02, -2.08, -0.32]","[-0.14, -5.63, 0.99]",3027.041
"[-92.94, -2.08, -0.37]","[-0.13, -5.62, 0.99]",3036.165
"[-92.83, -2.13, -0.34]","[-0.14, -5.61, 0.98]",3047.175
"[-92.76, -2.12, -0.32]","[-0.13, -5.62, 0.98]",3056.184
"[-92.84, -2.16, -0.3]","[-0.13, -5.61, 0.98]",3066.189
"[-92.98, -2.21, -0.24]","[-0.13, -5.61, 0.98]",3076.187
"[-93.1, -2.16, -0.16]","[-0.13, -5.62, 0.98]",3086.186
"[-93.29, -2.18, -0.07]","[-0.13, -5.62, 0.98]",3096.1789999999996
"[-93.4, -2.16, -0.02]","[-0.13, -5.62, 0.98]",3106.17
"[-93.46, -2.16, 0.0]","[-0.14, -5.62, 0.98]",3116.1850000000004
"[-93.51, -2.13, 0.02]","[-0.14, -5.63, 0.97]",3127.174
"[-93.43, -2.06, 0.06]","[-0.14, -5.63, 0.97]",3139.003
"[-93.31, -2.03, 0.01]","[-0.15, -5.62, 0.97]",3146.1820000000002
"[-93.21, -2.04, -0.09]","[-0.15, -5.62, 0.97]",3156.206
"[-93.15, -2.03, -0.18]","[-0.14, -5.54, 0.97]",3166.185
"[-93.08, -1.73, -0.05]","[-0.1, -5.34, 0.95]",3177.003
"[-92.5, -1.07, 0.41]","[-0.09, -5.22, 0.94]",3187.012
"[-90.2, -0.74, 0.59]","[-0.09, -5.07, 0.91]",3197.0040000000004
"[-85.65, -1.35, 0.19]","[-0.03, -4.92, 0.87]",3206.163
"[-82.53, -2.89, -1.83]","[-0.01, -4.51, 0.84]",3216.17
"[-75.55, -2.67, -1.88]","[-0.04, -4.07, 0.76]",3227.185
"[-73.64, -2.31, -2.04]","[-0.08, -3.92, 0.68]",3236.192
"[-72.46, -2.45, -2.09]","[-0.12, -3.9, 0.62]",3247.03
"[-72.21, -2.37, -1.09]","[-0.11, -3.9, 0.63]",3257.004
"[-71.46, -2.42, 0.02]","[-0.05, -3.74, 0.62]",3266.184
"[-71.69, -2.81, 0.84]","[-0.08, -3.88, 0.63]",3276.1800000000003
"[-73.16, -2.61, 1.29]","[-0.1, -3.93, 0.62]",3286.181
"[-75.58, -2.93, 0.57]","[-0.06, -4.0, 0.66]",3296.182
"[-78.11, -3.38, 0.45]","[0.02, -4.03, 0.73]",3307.025
"[-79.1, -3.25, 0.68]","[-0.03, -4.68, 0.83]",3316.177
"[-85.96, -2.81, -0.76]","[-0.6, -4.32, 0.53]",3327.172
"[-102.04, 0.39, -1.88]","[-0.38, -2.74, 0.06]",3336.186
"[-98.01, -0.68, 0.5]","[0.11, -2.89, 0.32]",3346.1820000000002
"[-84.91, 0.91, 1.96]","[-0.02, -2.74, 0.52]",3356.1749999999997
"[-69.04, 5.08, 1.22]","[-0.27, -2.22, 0.14]",3367.009
"[-56.33, 3.2, 0.88]","[-0.59, -1.69, -0.04]",3376.182
"[-51.58, 4.15, -1.11]","[-0.73, -1.0, -0.25]",3386.188
"[-46.31, 2.88, -2.45]","[-0.7, -0.93, -0.12]",3396.176
"[-48.76, 0.85, -4.01]","[-0.73, -1.09, -0.09]",3406.194
"[-48.53, 0.98, -3.01]","[-0.79, -0.98, -0.31]",3419.0170000000003
